sportsplayed, facilitycondition, postcode, objectid, suburbtown, facilityage
"BMX",null,null,9060,"LILYDALE",null
"Fitness / Gymnasium Workouts",null,3137,9289,"KILSYTH",null
"Tennis (Outdoor)","3. Average",3159,9374,"SELBY","26 - 50 Years"
"Golf",null,3418,3856,"BAKER",null
"Equestrian",null,3029,3952,"TRUGANINA",null
"Cricket",null,3083,387,"BUNDOORA",null
"Sailing",null,3922,554,"COWES",null
"Gymnastics",null,3672,926,"BENALLA",null
"Cycling",null,null,4302,null,null
"Cricket",null,3195,4383,"MORDIALLOC",null
"Gymnastics",null,3195,4433,"BRAESIDE",null
"Carpet Bowls","3. Average",3537,4910,"BOORT","26 - 50 Years"
"Gymnastics",null,3732,8190,"MOYHU",null
"Polocrosse",null,3850,8461,"WURRUK",null
"Tennis (Outdoor)",null,3860,8488,"MAFFRA",null
"Badminton",null,3125,8574,"BURWOOD",null
"Tennis (Outdoor)","3. Average",3151,8689,"BURWOOD EAST","26 - 50 Years"
"Canoeing",null,3690,8849,"WODONGA",null
"Cricket",null,3570,1019,"RAYWOOD",null
"Baseball",null,3166,6094,"HUNTINGDALE",null
"Karate",null,3149,6182,"MT WAVERLEY",null
"Squash / Racquetball",null,3055,6548,"BRUNSWICK WEST",null
"Baseball",null,3913,6599,"TYABB",null
"Cycling",null,null,6645,null,null
"Sailing",null,3463,6854,"BARINGHUP",null
"Cycling",null,3400,7156,"STAWELL",null
"BMX",null,3630,7357,"SHEPPARTON",null
null,null,3230,7892,"ANGLESEA",null
"Motor Cycling",null,null,2257,"BARONGAROOK",null
"Lawn Bowls",null,3266,2367,"SIMPSON  ",null
"Cycling",null,null,5027,null,null
"Equestrian",null,3111,5152,"DONVALE",null
"Fitness / Gymnasium Workouts",null,3136,5434,"CROYDON",null
"Basketball",null,3338,5638,"EYNESBURY",null
"Volleyball",null,3337,5730,"MELTON",null
"Lawn Bowls","4. Good",3494,5796,"NANGILOC","11 - 25 Years"
"BMX",null,3658,5872,"BROADFORD",null
"Netball","4. Good",3030,9001,"WERRIBEE",null
"Netball (indoor)",null,3029,9002,"HOPPERS CROSSING",null
"Netball (Indoor)",null,3030,9003,"WERRIBEE",null
"Polo",null,3030,9004,"WERRIBEE",null
"Rugby League",null,null,9005,"TRUGANINA","0 - 5 Years"
"Rugby League","5. Very Good",3024,9006,"WYNDHAM VALE","0 - 5 Years"
"Cycling",null,null,6827,null,null
"Rugby Union","5. Very Good",3024,9007,"WYNDHAM VALE","0 - 5 Years"
"Rugby Union","3. Average",3029,9008,"HOPPERS CROSSING","26 - 50 Years"
"Shooting Sports",null,3030,9009,"WERRIBEE",null
"Skating","3. Average",3030,9010,"POINT COOK","0 - 5 Years"
"Skating",null,3211,9011,"LITTLE RIVER",null
"Skating","4. Good",3029,9012,"HOPPERS CROSSING","11 - 25 Years"
"Skating","3. Average",3030,9013,"WERRIBEE","6 - 10 Years"
"Soccer","5. Very Good",3029,9014,"TRUGANINA","0 - 5 Years"
"Soccer","5. Very Good",3029,9015,"TRUGANINA","0 - 5 Years"
"Soccer","4. Good",3030,9016,"WERRIBEE","11 - 25 Years"
"Soccer","5. Very Good",3029,9017,"HOPPERS CROSSING","0 - 5 Years"
"Soccer","5. Very Good",3029,9018,"HOPPERS CROSSING","6 - 10 Years"
